| Number | Company Name |
|--------|--------------|
| 1 | إلى من يهمه الأمر |
| 2 | Saudi New zeland comp alban |
| 3 | Saudi Steel Pipe COLTD |
| 4 | Saudi Fisheries Company |
| 5 | ABACOORP |
| 6 | Saudi Basic Industries Corporation - SABIC |
| 7 | Saudi Pharmaceutical Industries and Medical Appliances |
| 8 | Sudi Diesel Generators |
| 9 | Comparical COLTD |
| 11 | Nama Co. |
| 12 | Anabeeb |
| 13 | Arabian Company Group |
| 14 | Saudi Chemical Company Ltd. |
| 15 | National Company for the manufacture of chemical fertilizers |
| 16 | National company for transportation |
| 17 | Ncci Co. |
| 18 | Nadec Co. |
| 19 | Napco Flexible Packaging Companies |
| 21 | المؤسسة العامة لتحلية المياه المالحة |
| 22 | Swcc- Jeddah |
| 24 | Saudi Factory For Nasej |
| 25 | Royal Commision for Jubail |
| 26 | ديوان المراقبة العامة |
| 27 | Qassim Cement Co. |
| 29 | Saudi Aramco shell Refinary (SASREF) |
| 30 | Saudi Iron &amp; steel company(Hadeed) |
| 31 | Saudi European Petrochmecal (IBN ZAHR) |
| 32 | Saudi Fertilizer Comoany (SAFCO) |
| 33 | Jubail Fertilizer Company - Baironi |
| 34 | Kemya |
| 35 | Saudi Petrochemical Company ( SADAF ) |
| 36 | Saudi Methanol Company (AR-RAZY) |
| 37 | Eastern Petrochemecal Company (SHARQ) |
| 38 | Arabian Petrochemical Company (PETROKEMYA) |
| 39 | National Industtrial Gases (GAS) |
| 40 | Iben Sena Co. |
| 42 | Saudi Aramco Mobil (SAMREF) |
| 43 | EASTERN PROVINCE CEMENT CO . |
| 44 | Asiain Brawn Bofairi |
| 45 | National Anabeeb coltd |
| 46 | Saudi Cement Co. |
| 47 | Arabin Cement Co. |
| 48 | Modern Electric COLTD |
| 49 | Al-jabr Trading Co. |
| 50 | Arabian Drilling Company |
| 51 | Saudi Ceramic Co. |
| 52 | Gulf Company for the production of margarines, oils and thei |
| 53 | شركة الراجحي المصرفية للاستثمار |
| 54 | AL-zahid Group |
| 55 | Indastiral ModernCOLTD- Dammam |
| 56 | Indastiral ModernCOLTD- Jeddah |
| 57 | Saudi Yanbu Petrochemical Company (grow) |
| 58 | Factory armored vehicles and heavy equipment |
| 59 | KING FAHD INTERNATIONAL AIRPORT |
| 62 | Sabic Markting Coltd |
| 63 | SAB TANK |
| 64 | Saudi Chevron Petrochemical |
| 65 | Matel Coting Company |
| 68 | gulfgurd Coltd |
| 69 | faiber-tec |
| 70 | Arabian Chamical Co. (Latex) |
| 71 | Arab Pesticide industries company |
| 72 | Soda Causticprills |
| 73 | Olyan Coltd |
| 74 | Formaldahied Coltd |
| 76 | National Environmental Preservation Co. |
| 77 | Basic Chemical Coltd |
| 78 | Dahran Chemical coltd |
| 79 | Halliburton |
| 80 | Olayan Financing Company |
| 81 | Saudi Carbonate Company |
| 82 | AL-Marai Trading Co. Ltd. |
| 83 | Pepsi coala |
| 84 | Binzagr Lever Company |
| 86 | Bechtel K.S.A |
| 88 | RECOME K.S.A |
| 89 | Safola |
| 90 | Abdulatif Jamil coltd - Jeddah |
| 91 | Abdulah Hashem COLTD |
| 93 | Saudi Electricity Company- Rafha |
| 94 | شركة لوحات التوزيع والقواطع |
| 95 | Lucent Tknlogiz Company |
| 96 | National Clearance Coltd |
| 99 | Saudia Arabia Gases |
| 100 | Dowell Schlumberger |
| 102 | قيادة سلاح الأشارة |
| 103 | Yanbu Industrial College |
| 106 | Riyadh House Foundation (Dammam) |
| 107 | Al-banawi Coltd |
| 108 | National Metal Manufacturing and Casting Co. |
| 110 | Ibn hyan For Plastic (Tayf) |
| 111 | Saline Water Conversion Corporation |
| 112 | Saudi Telecom Company |
| 113 | Saudi Aramco Co. |
| 114 | Aramco Gulf Operations Co. Ltd. |
| 115 | Olayan group coltd |
| 116 | Saudi Arabian Chevron Inc. |
| 117 | Dabagh group |
| 118 | Almana Hosbital |
| 119 | The Water and Sanitation- Madinah |
| 121 | A-Zamil Air Conditioners |
| 122 | Zamil Aluminum Factory |
